Security Ticker/CUSIP,Target,Lower Tolerance,Upper Tolerance
FDX,0.7,0,4
ADBE,4.3,1.3,7.3
GOOGL,4,1,7
AMZN,3.2,0.2,6.2
ADI,3.1,0.1,6.1
AAPL,3.8,0.8,6.8
AMAT,2.9,0,5.9
AJG,3.3,0.3,6.3
ADSK,2.2,0,5.2
BLK,2.4,0,5.4
BSX,3.4,0.4,6.4
SCHW,3.2,0.2,6.2
HOLX,3,0,6
ISRG,3,0,6
JPM,3.1,0.1,6.1
LEN,2.8,0,5.8
MCD,2.2,0,5.2
MCK,3.1,0.1,6.1
META,4.1,1.1,7.1
MCHP,2.5,0,5.5
NVDA,6.7,3.7,9.7
ODFL,4.3,1.3,7.3
PANW,3.9,0.9,6.9
PEP,2.8,0,5.8
PWR,3.3,0.3,6.3
SPGI,2.7,0,5.7
NOW,3.2,0.2,6.2
SKX,3,0,6
SYK,3,0,6
URI,3.7,0.7,6.7
V,3.1,0.1,6.1
